age,value,current_asset,current_quantity,current_origination_ltv,fico_score,current_ltv,wage,consumption,future_asset,future_quantity,future_oltv,status,
29.0,3.1967864030798876,0.75,0.5,1.0,0.0,0.0,0.8034569864365203,1.5719569864365202,0.001,0.5,1.0,5.0,
29.0,3.1967864030798876,0.75,0.5,0.5,0.0,0.0,0.8034569864365203,1.5719569864365202,0.001,0.5,0.5,5.0,
29.0,-3.694912469755737,0.001,0.001,0.0,1.0,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.0,5.0,
29.0,-3.694912469755737,0.001,0.001,0.0,0.5,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.0,5.0,
29.0,-3.694912469755737,0.001,0.001,0.0,0.25,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.0,5.0,
29.0,-3.694912469755737,0.001,0.001,0.0,0.75,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.0,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.0,1.0,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.0,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.0,0.5,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.0,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.0,0.25,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.0,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.0,0.75,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.0,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.0,1.0,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.0,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.0,0.5,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.0,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.0,0.25,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.0,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.0,0.75,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.0,5.0,
29.0,-3.192449048057757,0.25,0.001,0.0,1.0,0.0,0.8034569864365203,0.4860998435793774,0.1437142857142857,0.001,0.0,5.0,
29.0,-3.192449048057757,0.25,0.001,0.0,0.5,0.0,0.8034569864365203,0.4860998435793774,0.1437142857142857,0.001,0.0,5.0,
29.0,-2.567666851986063,0.75,0.001,0.0,1.0,0.0,0.8034569864365203,0.7156712721508058,0.21507142857142858,0.001,0.0,5.0,
29.0,-2.567666851986063,0.75,0.001,0.0,0.5,0.0,0.8034569864365203,0.7156712721508058,0.21507142857142858,0.001,0.0,5.0,
29.0,3.6456439315364655,0.001,1.0,0.0,1.0,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.0,5.0,
29.0,3.6456439315364655,0.001,1.0,0.0,0.5,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.0,5.0,
29.0,3.6456439315364655,0.001,1.0,0.0,0.25,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.0,5.0,
29.0,3.6456439315364655,0.001,1.0,0.0,0.75,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.0,5.0,
29.0,2.744632658773074,0.001,0.5,0.0,1.0,0.0,0.8034569864365203,0.8004869864365203,0.001,0.5,0.0,5.0,
29.0,2.744632658773074,0.001,0.5,0.0,0.5,0.0,0.8034569864365203,0.8004869864365203,0.001,0.5,0.0,5.0,
29.0,2.744632658773074,0.001,0.5,0.0,0.25,0.0,0.8034569864365203,0.8004869864365203,0.001,0.5,0.0,5.0,
29.0,2.744632658773074,0.001,0.5,0.0,0.75,0.0,0.8034569864365203,0.8004869864365203,0.001,0.5,0.0,5.0,
29.0,1.843701428081307,0.001,0.25,0.0,1.0,0.0,0.8034569864365203,0.8004869864365203,0.001,0.25,0.0,5.0,
29.0,1.843701428081307,0.001,0.25,0.0,0.5,0.0,0.8034569864365203,0.8004869864365203,0.001,0.25,0.0,5.0,
29.0,3.2716839254075465,0.001,0.75,0.0,1.0,0.0,0.8034569864365203,0.8004869864365203,0.001,0.75,0.0,5.0,
29.0,3.2716839254075465,0.001,0.75,0.0,0.5,0.0,0.8034569864365203,0.8004869864365203,0.001,0.75,0.0,5.0,
29.0,4.199435243907564,1.0,1.0,0.0,1.0,0.0,0.8034569864365203,1.8294569864365204,0.001,1.0,0.0,5.0,
29.0,4.199435243907564,1.0,1.0,0.0,0.5,0.0,0.8034569864365203,1.8294569864365204,0.001,1.0,0.0,5.0,
29.0,4.199435243907564,1.0,1.0,0.0,0.25,0.0,0.8034569864365203,1.8294569864365204,0.001,1.0,0.0,5.0,
29.0,4.199435243907564,1.0,1.0,0.0,0.75,0.0,0.8034569864365203,1.8294569864365204,0.001,1.0,0.0,5.0,
29.0,3.298423971144172,1.0,0.5,0.0,1.0,0.0,0.8034569864365203,1.8294569864365204,0.001,0.5,0.0,5.0,
29.0,3.298423971144172,1.0,0.5,0.0,0.5,0.0,0.8034569864365203,1.8294569864365204,0.001,0.5,0.0,5.0,
29.0,3.298423971144172,1.0,0.5,0.0,0.25,0.0,0.8034569864365203,1.8294569864365204,0.001,0.5,0.0,5.0,
29.0,3.298423971144172,1.0,0.5,0.0,0.75,0.0,0.8034569864365203,1.8294569864365204,0.001,0.5,0.0,5.0,
29.0,2.397492740452405,1.0,0.25,0.0,1.0,0.0,0.8034569864365203,1.8294569864365204,0.001,0.25,0.0,5.0,
29.0,2.397492740452405,1.0,0.25,0.0,0.5,0.0,0.8034569864365203,1.8294569864365204,0.001,0.25,0.0,5.0,
29.0,3.8254752377786443,1.0,0.75,0.0,1.0,0.0,0.8034569864365203,1.8294569864365204,0.001,0.75,0.0,5.0,
29.0,3.8254752377786443,1.0,0.75,0.0,0.5,0.0,0.8034569864365203,1.8294569864365204,0.001,0.75,0.0,5.0,
29.0,3.977936224187358,0.5,1.0,0.0,1.0,0.0,0.8034569864365203,1.3144569864365203,0.001,1.0,0.0,5.0,
29.0,3.977936224187358,0.5,1.0,0.0,0.5,0.0,0.8034569864365203,1.3144569864365203,0.001,1.0,0.0,5.0,
29.0,3.977936224187358,0.5,1.0,0.0,0.25,0.0,0.8034569864365203,1.3144569864365203,0.001,1.0,0.0,5.0,
29.0,3.977936224187358,0.5,1.0,0.0,0.75,0.0,0.8034569864365203,1.3144569864365203,0.001,1.0,0.0,5.0,
29.0,3.0769249514239667,0.5,0.5,0.0,1.0,0.0,0.8034569864365203,1.3144569864365203,0.001,0.5,0.0,5.0,
29.0,3.0769249514239667,0.5,0.5,0.0,0.5,0.0,0.8034569864365203,1.3144569864365203,0.001,0.5,0.0,5.0,
29.0,3.0769249514239667,0.5,0.5,0.0,0.25,0.0,0.8034569864365203,1.3144569864365203,0.001,0.5,0.0,5.0,
29.0,3.0769249514239667,0.5,0.5,0.0,0.75,0.0,0.8034569864365203,1.3144569864365203,0.001,0.5,0.0,5.0,
29.0,2.1759937207321998,0.5,0.25,0.0,1.0,0.0,0.8034569864365203,1.3144569864365203,0.001,0.25,0.0,5.0,
29.0,2.1759937207321998,0.5,0.25,0.0,0.5,0.0,0.8034569864365203,1.3144569864365203,0.001,0.25,0.0,5.0,
29.0,3.603976218058439,0.5,0.75,0.0,1.0,0.0,0.8034569864365203,1.3144569864365203,0.001,0.75,0.0,5.0,
29.0,3.603976218058439,0.5,0.75,0.0,0.5,0.0,0.8034569864365203,1.3144569864365203,0.001,0.75,0.0,5.0,
29.0,3.831856371939058,0.25,1.0,0.0,1.0,0.0,0.8034569864365203,1.0569569864365203,0.001,1.0,0.0,5.0,
29.0,3.831856371939058,0.25,1.0,0.0,0.5,0.0,0.8034569864365203,1.0569569864365203,0.001,1.0,0.0,5.0,
29.0,2.9308450991756665,0.25,0.5,0.0,1.0,0.0,0.8034569864365203,1.0569569864365203,0.001,0.5,0.0,5.0,
29.0,2.9308450991756665,0.25,0.5,0.0,0.5,0.0,0.8034569864365203,1.0569569864365203,0.001,0.5,0.0,5.0,
29.0,4.097797675843279,0.75,1.0,0.0,1.0,0.0,0.8034569864365203,1.5719569864365202,0.001,1.0,0.0,5.0,
29.0,4.097797675843279,0.75,1.0,0.0,0.5,0.0,0.8034569864365203,1.5719569864365202,0.001,1.0,0.0,5.0,
29.0,3.1967864030798876,0.75,0.5,0.0,1.0,0.0,0.8034569864365203,1.5719569864365202,0.001,0.5,0.0,5.0,
29.0,3.1967864030798876,0.75,0.5,0.0,0.5,0.0,0.8034569864365203,1.5719569864365202,0.001,0.5,0.0,5.0,
29.0,-3.694912469755737,0.001,0.001,1.0,1.0,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,1.0,5.0,
29.0,-3.694912469755737,0.001,0.001,1.0,0.5,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,1.0,5.0,
29.0,-3.694912469755737,0.001,0.001,1.0,0.25,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,1.0,5.0,
29.0,-3.694912469755737,0.001,0.001,1.0,0.75,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,1.0,5.0,
29.0,-3.694912469755737,0.001,0.001,0.5,1.0,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.5,5.0,
29.0,-3.694912469755737,0.001,0.001,0.5,0.5,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.5,5.0,
29.0,-3.694912469755737,0.001,0.001,0.5,0.25,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.5,5.0,
29.0,-3.694912469755737,0.001,0.001,0.5,0.75,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.5,5.0,
29.0,-3.694912469755737,0.001,0.001,0.25,1.0,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.25,5.0,
29.0,-3.694912469755737,0.001,0.001,0.25,0.5,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.25,5.0,
29.0,-3.694912469755737,0.001,0.001,0.75,1.0,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.75,5.0,
29.0,-3.694912469755737,0.001,0.001,0.75,0.5,0.0,0.8034569864365203,0.22962984357937744,0.1437142857142857,0.001,0.75,5.0,
29.0,-2.3294279327509693,1.0,0.001,1.0,1.0,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,1.0,5.0,
29.0,-2.3294279327509693,1.0,0.001,1.0,0.5,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,1.0,5.0,
29.0,-2.3294279327509693,1.0,0.001,1.0,0.25,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,1.0,5.0,
29.0,-2.3294279327509693,1.0,0.001,1.0,0.75,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,1.0,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.5,1.0,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.5,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.5,0.5,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.5,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.5,0.25,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.5,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.5,0.75,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.5,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.25,1.0,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.25,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.25,0.5,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.25,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.75,1.0,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.75,5.0,
29.0,-2.3294279327509693,1.0,0.001,0.75,0.5,0.0,0.8034569864365203,0.6877427007222348,0.2864285714285714,0.001,0.75,5.0,
29.0,-2.8664720272681374,0.5,0.001,1.0,1.0,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,1.0,5.0,
29.0,-2.8664720272681374,0.5,0.001,1.0,0.5,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,1.0,5.0,
29.0,-2.8664720272681374,0.5,0.001,1.0,0.25,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,1.0,5.0,
29.0,-2.8664720272681374,0.5,0.001,1.0,0.75,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,1.0,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.5,1.0,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.5,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.5,0.5,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.5,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.5,0.25,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.5,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.5,0.75,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.5,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.25,1.0,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.25,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.25,0.5,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.25,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.75,1.0,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.75,5.0,
29.0,-2.8664720272681374,0.5,0.001,0.75,0.5,0.0,0.8034569864365203,0.458171272150806,0.21507142857142858,0.001,0.75,5.0,
29.0,-3.192449048057757,0.25,0.001,1.0,1.0,0.0,0.8034569864365203,0.4860998435793774,0.1437142857142857,0.001,1.0,5.0,
29.0,-3.192449048057757,0.25,0.001,1.0,0.5,0.0,0.8034569864365203,0.4860998435793774,0.1437142857142857,0.001,1.0,5.0,
29.0,-3.192449048057757,0.25,0.001,0.5,1.0,0.0,0.8034569864365203,0.4860998435793774,0.1437142857142857,0.001,0.5,5.0,
29.0,-3.192449048057757,0.25,0.001,0.5,0.5,0.0,0.8034569864365203,0.4860998435793774,0.1437142857142857,0.001,0.5,5.0,
29.0,-2.567666851986063,0.75,0.001,1.0,1.0,0.0,0.8034569864365203,0.7156712721508058,0.21507142857142858,0.001,1.0,5.0,
29.0,-2.567666851986063,0.75,0.001,1.0,0.5,0.0,0.8034569864365203,0.7156712721508058,0.21507142857142858,0.001,1.0,5.0,
